Name,NORAD ID,Int'l Code,Launch date,"Period
[minutes]",Longitude,Action,Longitude,sat_name,sat_operator,long_string,x_coord,y_coord,include
TELECOM 1A,15159,1984-081B,"August 4, 1984",1463.5,127.6° W,TRACK IT,-127.6,TELECOM 1A,France,127.6° W,0.132,0.309,TRUE
GORIZONT 29,22907,1993-072A,"November 18, 1993",1438.3,127.1° W,TRACK IT,-127.1,GORIZONT 29,Russia,127.1° W,0.124,0.309,TRUE
HORIZONS 1 (GALAXY 13),27954,2003-044A,"October 1, 2003",1436.1,127° W,TRACK IT,-127,HORIZONS 1 (GALAXY 13),United States,127° W,0.122,0.309,TRUE
INTELSAT 601,21765,1991-075A,"October 29, 1991",1446,125.5° W,TRACK IT,-125.5,INTELSAT 601,Intelsat,125.5° W,0.096,0.309,TRUE
INSAT 2R (ARABSAT 1C),21894,1992-010B,"February 26, 1992",1459.2,125.5° W,TRACK IT,-125.5,INSAT 2R (ARABSAT 1C),India,125.5° W,0.096,0.309,TRUE
GALAXY 14,28790,2005-030A,"August 13, 2005",1436.1,124.9° W,TRACK IT,-124.9,GALAXY 14,United States,124.9° W,0.085,0.309,TRUE
AMC-21,33275,2008-038B,"August 14, 2008",1436.1,124.9° W,TRACK IT,-124.9,AMC-21,SES,124.9° W,0.085,0.309,TRUE
INTELSAT 603,20523,1990-021A,"March 14, 1990",1447.6,124.7° W,TRACK IT,-124.7,INTELSAT 603,Intelsat,124.7° W,0.082,0.309,TRUE
NILESAT,25311,1998-024A,"April 28, 1998",1478.5,124.5° W,TRACK IT,-124.5,NILESAT,Egypt,124.5° W,0.078,0.309,TRUE
DODGE 1,2867,1967-066F,"July 1, 1967",1319.1,123.6° W,TRACK IT,-123.6,DODGE 1,United States,123.6° W,0.063,0.309,TRUE
ARABSAT 1DR (TELSTAR 3A),14234,1983-077A,"July 28, 1983",1446.9,123.1° W,TRACK IT,-123.1,ARABSAT 1DR (TELSTAR 3A),Arabsat,123.1° W,0.054,0.308,TRUE
NIMIQ 2,27632,2002-062A,"December 29, 2002",1436.1,123.1° W,TRACK IT,-123.1,NIMIQ 2,Canada,123.1° W,0.054,0.308,TRUE
GALAXY 18,32951,2008-024A,"May 21, 2008",1436.1,123° W,TRACK IT,-123,GALAXY 18,United States,123° W,0.052,0.308,TRUE
BSAT-2A,26720,2001-011B,"March 8, 2001",1452,122.2° W,TRACK IT,-122.2,BSAT-2A,Japan,122.2° W,0.038,0.308,TRUE
COMSTAR 2,9047,1976-073A,"July 22, 1976",1440.4,121.8° W,TRACK IT,-121.8,COMSTAR 2,United States,121.8° W,0.031,0.308,TRUE
GALAXY 23 (TELSTAR 13),27854,2003-034A,"August 8, 2003",1436.1,121° W,TRACK IT,-121,GALAXY 23 (TELSTAR 13),United States,121° W,0.017,0.308,TRUE
USA 169,27711,2003-012A,"April 8, 2003",1436.1,120.2° W,TRACK IT,-120.2,USA 169,United States,120.2° W,0.003,0.308,TRUE
NATO 3C,11115,1978-106A,"November 19, 1978",1462.2,119.8° W,TRACK IT,-119.8,NATO 3C,NATO,119.8° W,-0.003,0.308,TRUE
STTW-T1,14670,1984-008A,"January 29, 1984",160.3,119.6° W,TRACK IT,-119.6,STTW-T1,China,119.6° W,-0.007,0.308,TRUE
DIRECTV 7S,28238,2004-016A,"May 4, 2004",1436.1,119° W,TRACK IT,-119,DIRECTV 7S,United States,119° W,-0.017,0.308,TRUE
ECHOSTAR 14,36499,2010-010A,"March 20, 2010",1436.1,118.9° W,TRACK IT,-118.9,ECHOSTAR 14,United States,118.9° W,-0.019,0.307,TRUE
ECHOSTAR 7,27378,2002-006A,"February 21, 2002",1436.1,118.8° W,TRACK IT,-118.8,ECHOSTAR 7,United States,118.8° W,-0.021,0.307,TRUE
ANIK F3,31102,2007-009A,"April 9, 2007",1436.1,118.7° W,TRACK IT,-118.7,ANIK F3,Canada,118.7° W,-0.023,0.307,TRUE
TELE-X,19919,1989-027A,"April 2, 1989",1452,118.6° W,TRACK IT,-118.6,TELE-X,Sweden,118.6° W,-0.024,0.307,TRUE
EUTE 16B (HB 4),25237,1998-013A,"February 27, 1998",1465.3,117.9° W,TRACK IT,-117.9,EUTE 16B (HB 4),Europe,117.9° W,-0.037,0.306,TRUE
AMOS 2,28132,2003-059A,"December 27, 2003",1448.8,117.9° W,TRACK IT,-117.9,AMOS 2,Israel,117.9° W,-0.037,0.306,TRUE
ARABSAT 2A,23948,1996-040A,"July 9, 1996",1451.2,117.5° W,TRACK IT,-117.5,ARABSAT 2A,Arabsat,117.5° W,-0.044,0.306,TRUE
EUTELSAT 117W B,41589,2016-038B,"June 15, 2016",1436.1,117° W,TRACK IT,-117,EUTELSAT 117W B,Europe,117° W,-0.052,0.305,TRUE
SATMEX 8,39122,2013-012A,"March 26, 2013",1436.1,116.8° W,TRACK IT,-116.8,SATMEX 8,Europe,116.8° W,-0.056,0.305,TRUE
THAICOM 3,24768,1997-016A,"April 16, 1997",1458.2,116.7° W,TRACK IT,-116.7,THAICOM 3,Thailand,116.7° W,-0.058,0.305,TRUE
ECHOSTAR 2,24313,1996-055A,"September 11, 1996",1437.2,116.5° W,TRACK IT,-116.5,ECHOSTAR 2,United States,116.5° W,-0.061,0.305,TRUE
OPS 9454,10941,1978-058A,"June 10, 1978",1438.7,116° W,TRACK IT,-116,OPS 9454,United States,116° W,-0.070,0.304,TRUE
HISPASAT 1C,26071,2000-007A,"February 3, 2000",1451.6,115.9° W,TRACK IT,-115.9,HISPASAT 1C,Spain,115.9° W,-0.071,0.304,TRUE
SATCOM 4,13035,1982-004A,"January 16, 1982",1446,115.6° W,TRACK IT,-115.6,SATCOM 4,United States,115.6° W,-0.077,0.304,TRUE
ECHOSTAR 4,25331,1998-028A,"May 7, 1998",1455.3,115.4° W,TRACK IT,-115.4,ECHOSTAR 4,United States,115.4° W,-0.080,0.304,TRUE
XM-4,29520,2006-049A,"October 30, 2006",1436.1,115.3° W,TRACK IT,-115.3,XM-4,United States,115.3° W,-0.082,0.303,TRUE
VIASAT 1,37843,2011-059A,"October 19, 2011",1436.1,115.1° W,TRACK IT,-115.1,VIASAT 1,United States,115.1° W,-0.085,0.303,TRUE
EUTE 115 WEST B (SATMEX 7,40425,2015-010B,"March 2, 2015",1436.1,114.9° W,TRACK IT,-114.9,EUTE 115 WEST B (SATMEX 7,Europe,114.9° W,-0.089,0.302,TRUE
MEXSAT 3,39035,2012-075B,"December 19, 2012",1436.1,114.8° W,TRACK IT,-114.8,MEXSAT 3,Mexico,114.8° W,-0.091,0.302,TRUE
CTS,8585,1976-004A,"January 17, 1976",1435.1,114.4° W,TRACK IT,-114.4,CTS,Canada,114.4° W,-0.098,0.302,TRUE
AURORA 2,21392,1991-037A,"May 29, 1991",1454.3,113.6° W,TRACK IT,-113.6,AURORA 2,United States,113.6° W,-0.111,0.301,TRUE
