Name,NORAD ID,Int'l Code,Launch date,"Period
[minutes]",Longitude,Action,Longitude,sat_name,sat_operator,long_string,x_coord,y_coord,include
XM-4,29520,2006-049A,"October 30, 2006",1436.1,115.3° W,TRACK IT,-115.3,XM-4,United States,115.3° W,-0.081939,0.307978,TRUE
VIASAT 1,37843,2011-059A,"October 19, 2011",1436.1,115.1° W,TRACK IT,-115.1,VIASAT 1,United States,115.1° W,-0.085417,0.307888,TRUE
DIRECTV 2 (DBS 2),23192,1994-047A,"August 3, 1994",1460,115° W,TRACK IT,-115,DIRECTV 2 (DBS 2),United States,115° W,-0.087156,0.307841,TRUE
EUTE 115 WEST B (SATMEX 7,40425,2015-010B,"March 2, 2015",1436.1,114.9° W,TRACK IT,-114.9,EUTE 115 WEST B (SATMEX 7,Europe,114.9° W,-0.088894,0.307794,TRUE
MEXSAT 3,39035,2012-075B,"December 19, 2012",1436.1,114.8° W,TRACK IT,-114.8,MEXSAT 3,Mexico,114.8° W,-0.090633,0.307745,TRUE
CTS,8585,1976-004A,"January 17, 1976",1435.1,113.7° W,TRACK IT,-113.7,CTS,Canada,113.7° W,-0.109734,0.307151,TRUE
EUROBIRD 4A(EUTELSAT W1),26487,2000-052A,"September 6, 2000",1466.7,113.4° W,TRACK IT,-113.4,EUROBIRD 4A(EUTELSAT W1),Europe,113.4° W,-0.114937,0.306969,TRUE
CHINASAT 5A (CHINASTAR1),25354,1998-033A,"May 30, 1998",1454.7,113.3° W,TRACK IT,-113.3,CHINASAT 5A (CHINASTAR1),China,113.3° W,-0.116671,0.306907,TRUE
MORELOS 3,40946,2015-056A,"October 2, 2015",1436.1,113° W,TRACK IT,-113,MORELOS 3,Mexico,113° W,-0.121869,0.306714,TRUE
SATMEX 6,29162,2006-020A,"May 27, 2006",1436.1,113° W,TRACK IT,-113,SATMEX 6,Europe,113° W,-0.121869,0.306714,TRUE
TDF 2,20705,1990-063A,"July 24, 1990",1460.3,112.5° W,TRACK IT,-112.5,TDF 2,France,112.5° W,-0.130526,0.306373,TRUE
USA 134,25019,1997-065A,"October 25, 1997",1436,112.2° W,TRACK IT,-112.2,USA 134,United States,112.2° W,-0.135716,0.306158,TRUE
WILDBLUE 1,29643,2006-054A,"December 8, 2006",1436.1,111.2° W,TRACK IT,-111.2,WILDBLUE 1,United States,111.2° W,-0.152986,0.305379,TRUE
ANIK F2,28378,2004-027A,"July 18, 2004",1436.1,111.1° W,TRACK IT,-111.1,ANIK F2,Canada,111.1° W,-0.154710,0.305296,TRUE
TERRESTAR 1,35496,2009-035A,"July 1, 2009",1436.1,111° W,TRACK IT,-111,TERRESTAR 1,United States,111° W,-0.156434,0.305212,TRUE
ECHOSTAR 10,28935,2006-003A,"February 15, 2006",1436.1,110.2° W,TRACK IT,-110.2,ECHOSTAR 10,United States,110.2° W,-0.170209,0.304508,TRUE
